timestamp,Balancer stETH Stable Pool Growth of a ETH,Balancer rETH Stable Pool Growth of a ETH,Balancer rsETH / ETHx Growth of a ETH,Balancer osETH/wETH StablePool Growth of a ETH,Balancer wstETH-WETH Stable Pool Growth of a ETH,Balancer ETHx/wstETH Growth of a ETH,Balancer swETH-WETH Stable Pool Growth of a ETH,Balancer weETH/rETH StablePool Growth of a ETH,Balancer ezETH-WETH Stable Pool Growth of a ETH,Balancer weETH/ezETH/rswETH Growth of a ETH,Gyroscope ECLP wstETH/wETH Growth of a ETH,Gyroscope ECLP wstETH/cbETH Growth of a ETH,balETH
2024-08-02 19:16:35,1.0001946537154227,1.0015080272560588,1.0054394254199814,1.0015939747238634,1.0018631993469422,1.0062769277128114,1.001623870878747,1.0028308664717944,1.0027352860289198,1.0038387046110544,1.004296892683031,1.0031790400143534,1.0056111444857627
2024-08-03 01:14:11,1.00021113285651,1.001553412420464,1.0055736775819841,1.0016121139292289,1.0019158455708872,1.0063415719792144,1.0012900640705593,1.002894971790654,1.0028924329773368,1.0039042117705579,1.0043773304730073,1.0032494374937013,1.0056641199828316
2024-08-03 07:11:59,1.0002111479840214,1.0015812261802783,1.0056367122365235,1.0016301730668413,1.0019287134387442,1.0064164584341246,1.0010561476144018,1.002921016234808,1.002096044890651,1.0036192170146643,1.0044216795029208,1.003284184562776,1.005671690347252
2024-08-03 13:08:11,1.0001605184825466,1.0015793548271312,1.0052836434363346,1.0016932824120217,1.0018776808849994,1.0064388042222776,1.0009117010496715,1.0029469681875105,1.0021275847265396,1.0035810962748508,1.0043462638989513,1.0032375216032963,1.0056792269719421
2024-08-03 19:04:47,1.0001613231262665,1.0015997015016054,1.0053973362054003,1.0017146083367854,1.0019046582259652,1.0066000853906414,1.0011542720824027,1.0024485765138043,1.0023592003996988,1.0035251068020246,1.004394406548235,1.0032507137313447,1.005686772173147
2024-08-04 01:00:59,1.0001613231262665,1.001050150320506,1.0054821479080212,1.001732622694917,1.0019295119696354,1.0067052419798295,1.0009052940507248,1.0022456634293242,1.002379283827182,1.0035534857796478,1.0044496599938764,1.0033350379217465,1.0053998941053282
2024-08-04 06:57:11,1.0001614619697297,1.001076206382827,1.0055452080165868,1.0017506380177386,1.0019542058659556,1.0067394678719104,1.0009058433718867,1.002279968621578,1.0022043670555252,1.003498259855511,1.0045501784152815,1.0033517892408275,1.0053998941053282
2024-08-04 12:52:47,1.0001969514273625,1.0011113718851221,1.0057915093450656,1.0017978333557995,1.002015283798726,1.0067776919615843,1.0005876340232935,1.0022955854022828,1.0022452620440143,1.0028662380809508,1.0046157780117102,1.0033944646827648,1.0053998941053282
2024-08-04 18:49:35,0.9999724638409294,1.0011185873055717,1.0057196282734844,1.0018088705428227,1.0016559837471257,1.006609664727595,0.9994034611668571,1.0022745229998875,1.0017949043837573,1.002680792980328,1.0041894789702832,1.0031716075708759,1.0053998941053282
2024-08-05 00:45:23,0.9999724638409294,1.0017183921394923,1.0057786348992297,1.0018300416918327,1.001691199424638,1.0066708762637588,0.9996040024361006,1.00252318940987,1.0018034581708648,1.0027078035413337,1.0042407861490177,1.003226411290685,1.0052081202254741
2024-08-05 06:41:11,0.9998634732560678,1.001856043249834,0.9969297511724132,1.001831777333828,0.9958641212868092,1.0004023727672064,0.9973835106304739,0.9957797066303916,1.0019879778910445,0.9959068632895163,0.9976790654344927,0.9967691538117835,1.0052081202254741
2024-08-05 12:38:23,1.0029554823444942,1.0018974362828599,0.9966537388820781,1.0016230497005414,1.0008261324524717,1.0029479348502073,0.9931539135935229,0.9993491827459435,0.9988934454459902,0.9970395362943457,1.0028989138130995,,1.0052081202254741
2024-08-05 18:34:59,1.0029807664954749,1.00199956793247,0.9968521679234745,1.0016461812712607,1.0007896252157702,1.0027843622802342,0.9977596698893063,0.9995346537454763,0.9990593634705641,0.9971116775120414,1.0030573493797836,1.002439395491582,1.0052081202254741
2024-08-06 00:31:35,1.0029982130928863,1.0009746607028007,0.9980833529547688,1.0016621467035642,1.0008682695490407,1.0058893736723833,0.999371437573529,0.9992064673137174,1.001916938848442,0.9978781630431459,1.0030627462737232,1.0023112686532845,1.0008006134430174
2024-08-06 06:28:47,1.0029982130928863,1.0010080805272146,1.004421777335948,1.001685440761382,1.0008834132319373,1.0059509663731452,0.9996395492291955,0.9994156276500543,1.0019372919438791,0.9978964374552692,1.0030728266552569,1.0028491832386155,1.0008006134430174
2024-08-06 12:24:59,1.0030483829033554,1.000794240173068,1.0045026010881364,1.001892573456255,1.0010047698639943,1.0060440658973921,0.9996674566288373,1.002776536736981,1.0026952231040211,1.0028711004036122,1.003167079565895,1.002995273460717,1.0008006134430174
2024-08-06 18:22:11,1.001762931824058,1.000895755710754,1.0046148410271623,1.0019103383258803,1.0022299903204266,1.0067890696957593,0.9998541069881717,1.0030608284348599,1.0028182907501964,1.0030004747544705,1.004668999924643,1.0033236910825971,1.0008006134430174
2024-08-07 00:18:59,1.001762931824058,1.000917909046948,1.0048201824267358,1.0019280118962184,1.0022157265479263,1.0072328638931738,0.9996714308953943,1.0031065919801525,1.0013710655112857,1.0025804005674428,1.0047529679783576,1.0034163591268348,1.0014458243368498
2024-08-07 06:15:35,1.0017956535101538,1.0009302273430127,1.0048052062032387,1.0019496403682826,1.0022345455171884,1.0072075691200315,0.999594905676158,1.0031012130661328,1.0013726411882602,1.002613666386853,1.0047582256510625,1.0034277378580345,1.0024905692255193
2024-08-07 12:12:11,1.0017958175305985,1.0010534647910643,1.004790998597058,1.0020116897156033,1.0022714623849955,1.0073090606365491,1.000583330452998,1.0033674871740152,1.0022405567663653,1.0043550045092855,1.0048114365824985,1.0034581048632352,1.0035374962227548
2024-08-07 18:08:23,1.0017485004968512,1.001115919914059,1.0048843937831302,1.0020293837368706,1.0021906764836215,1.0074533061422826,0.9987686862287086,1.0034139234252297,1.0023179150993302,1.0043794516836322,1.0047624077969206,1.00341093322022,1.0045825005664248
2024-08-08 00:04:35,1.0017485004968512,1.0011774600382402,1.0050905687324925,1.0020470788190625,1.0022262598720242,1.0078312199754238,0.9991752920771139,1.0034735322776016,1.0019666099334847,1.0042934356557311,1.0048682557789397,1.0035936297615196,1.0048922455477283
2024-08-08 06:01:35,1.0019785899545322,1.001227497106534,1.0051365115133852,1.0020595998881234,1.0026366598715668,1.0081506861970755,0.9986927591636249,1.0035631743957236,1.0019612754177676,1.0042925855684313,1.0053535407429461,1.0039000790637227,1.0051566434659942
2024-08-08 11:57:35,1.001940347103227,1.0007522032357001,1.005545700536501,1.00205229933933,1.002653079736232,1.0082762090753208,1.000061828838717,1.003321985483098,1.001222156403586,1.0031430490661033,1.0053957448292772,1.003976777185415,1.0051566434659942
2024-08-08 17:53:35,1.0019848697129987,1.0007391272854966,1.0054978865276682,1.0020655668713336,1.0026877722245626,1.0082500124407816,0.996524881172981,1.0032607716057254,1.0011921568257562,1.0031471472624762,1.0054119177014869,1.0039685149697277,1.0052053864650023
2024-08-08 23:49:35,1.0042054623578216,1.0007164070865366,1.0054044203134604,1.0020759048855212,1.0062279073614453,1.0103331848014183,0.9963402091529536,1.0032061073679774,1.0031010382033965,1.0038204461704192,1.0095830181678396,1.0053545546737697,1.0052735503529335
2024-08-09 05:45:59,1.0014793164527354,1.0007434722736646,1.0053195156161165,1.00209262489588,1.0018997660479558,1.0077323724147218,1.0007069261966821,1.003212493231595,1.003203607464313,1.003899280496402,1.0044144333105747,1.0033909797922276,1.0053418000902279
2024-08-09 11:42:23,1.0014795068021187,1.0008035479867687,1.005728508718063,1.0021511227265756,1.001933224321653,1.0079995511987734,1.000772335252902,1.0033390230762815,1.0014526222604034,1.003957652995691,1.0045088202653398,1.0034666153838445,1.0054100590953339
2024-08-09 17:39:11,1.0015290199862086,1.000830420112098,1.005767476082631,1.0021676315030903,1.002095069290823,1.008106892031972,0.9997132378773053,1.0033583714167489,1.0013833643957895,1.003925465845759,1.004712323549162,1.0036410069955277,1.0055134546004527
2024-08-09 23:35:59,1.0015315148733106,1.0008360255822675,1.0057579276381132,1.0021842270007333,1.0022420397711116,1.0081072275184626,1.0016402913459934,1.0033565617525486,1.0021020704842358,1.0045082734248412,1.0049208246734422,1.0036507322937172,1.005634091246611
2024-08-10 05:31:59,1.0023431594405228,1.000810873000605,1.0057119672722925,1.0022009851612879,1.003303083145086,1.0087687837435724,1.0014900031238496,1.003312885361778,1.0020947686149841,1.0045610943896202,1.0061382293126955,1.0039834969803842,1.0057544862599916
2024-08-10 11:29:11,1.0022974932994855,1.0008197886379993,1.0057518421321112,1.0022785861076755,1.0033117133663592,1.0090441715650489,1.0009935389606937,1.0033038674886365,1.0029708709837635,1.007023298190843,1.0061642133679272,1.0039837812587478,1.0058753160761633
2024-08-10 17:25:11,1.0023379793348375,1.0008788028608417,1.0058671153716863,1.0022950566938529,1.0033792345248735,1.0092341207932292,1.0013907202077734,1.003364896043475,1.0030182733941535,1.0070642947008002,1.006314501523715,1.0037829546610058,1.005908428739
2024-08-10 23:21:11,1.0023379793348375,1.0009052226040025,1.0059047070883718,1.0023115272800593,1.0033908088086827,1.0093036717710469,1.0011559343336636,1.0033764002479129,1.0026134525175485,1.0068617496366543,1.0063432491276552,1.0037641645706041,1.005908428739
2024-08-11 05:19:11,1.002363704363311,1.0009234131832037,1.005943473396999,1.0023350601682632,1.003443311224904,1.0093964792114465,1.0024993594650422,1.0033956825913042,1.0026322571094604,1.0068781757079142,1.006420807645924,1.0038027391365945,1.005908428739
2024-08-11 11:16:23,1.002363704363311,1.0010245805642097,1.006129295859471,1.0023804579628708,1.0034656373640534,1.0094901670013392,1.0017268537430555,1.003575225180618,1.0033153283881195,1.0072124778450942,1.0063910686740098,1.0038570607823656,1.005908428739
