timestamp,id,success,totalPayment,gasUsed,gasOverhead,trigger,event,block,transaction_index,log_index,hash,gasCostInETH,gasPrice,gasCostInETH_with_premium
2024-09-11 18:15:35,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,446817432752618530,200175,112714,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<M\x07\x8d\xab\xf5\x91@0h\xe6\xfdTl#\x0e\x96;\xc5\x81\xd2 \x03~_\xb3J\xb1^\xfcB%\x96\xf9\x84',UpkeepPerformed,20729096,46,223,0x20642556a6d858289f430d11e29b4e6005e9822e0451ae46df11813c5e9fa104,0.00194566369929456,6313318340,0.002334796439153472
2024-09-11 18:54:11,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,702650307467712747,461314,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<M\xc6\xe8\x8e\xf2\xa7Zv\xec\x04\x12y\xc9\x96\xb6`!_\xf2\xc8\xd8\x03\x91b[>\xe6QK\x1f\x87\xfa\xa1\x1e',UpkeepPerformed,20729287,77,168,0x89dc1fa4be2b8266bd08d6bdbc5cd7f8c4e8c58a19bcff8bb7a80acc8720cfc5,0.002652964182123332,4704204197,0.0031835570185479983
2024-09-11 20:56:35,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,3385406780197577738,2467368,114740,"b""\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<P'\xcc\xd8\xa1\x9b\x9c\x92\x0bJzdTJ\xc9\xdfaDYH\xf8\xc6\xb88B\xc8\xaa\x83\x8cP\xbd\xf2@\x90""",UpkeepPerformed,20729896,106,259,0x458ce00ad42dafa5e41b3cb4a5aca3634fb8a14f08e0fcbdfa414ce5542d62fb,0.012640520152273129,4905200483,0.015168624182727753
2024-09-11 21:56:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1625823800616602391,2374500,114740,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<QTA\xaf\x19)[\xcd\xebn\x03g_p\ng\xf7\xee`\xa5\xcb:z\xe5gs^<\x92f\x197\xd4\x05',UpkeepPerformed,20730197,43,153,0xb8a723a63d350abe1766c51d108463044093d971682601bc17833b274ab01131,0.006001415886780124,2444262932,0.007201699064136148
2024-09-11 23:57:11,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,406234347223732768,595720,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<S\xac\xc91A|\xbb;\xf9\xcc\xf4\x0b\xc2\x8dh\xbb\x1d\x92:Z\xc8s\xbe*^\xcc\x03\x90\xc8\x18\xc5$\xd5\x01',UpkeepPerformed,20730797,64,193,0xd628dce066fb3952b1f2bb8da630c02c41421b078637a68b0b1817fd1f0cfc30,0.001538344278757014,2187640293,0.0018460131345084169
2024-09-12 00:57:23,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,402912887394155652,583601,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<T\xd8\xfcn\xd8\x07\xac\xa3.5F\xc5\xda\xdf\xe3\x9e.\xb3\x9ed@dL\xb4e_\xc3n\x07\x16\xfc\xe8\xca3',UpkeepPerformed,20731097,20,136,0x32d82698a5ec5499cf8632ccec82bdf8b8b3831a7da691acfebd98610f8fbb21,0.001515739707733729,2208596219,0.0018188876492804746
2024-09-12 01:45:23,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,377035163375073938,573511,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<U\xc7\xd11\x19\xb8w\x99\xe5\xe7\xb38FpV\xe8#F=\xbb\xff\x83\xc9/~A\xcb5\x08\x05)\xcc\xfca',UpkeepPerformed,20731336,62,167,0x2649d9fa7b978cf81e7a06bce683dcdf1b0d947840fedabf21742425f3945ac9,0.001428700490455106,2098015778,0.0017144405885461272
2024-09-12 02:45:35,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,374675687253277906,561394,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<V\xf2qa\x027\x8c\x00<\xb4\x13\x9dJ\xd5\x16\xb1\xe6\xefL\xa8\x82\xde\xa5+\xa0\x12W\xb7\x04\x05c\x17\xf1O',UpkeepPerformed,20731635,230,588,0x708ec31740f5a11d7d61cf431191ebecfb606569e2c3f18eb9d6966b2a23035a,0.001410085481298032,2123469209,0.0016921025775576382
2024-09-12 02:46:11,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,355420672210469574,473431,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<V\xf5\x88\xfa\x90xTd\xba\xa9\xb7\xef\xac\x815\xf2\x08_\x85\x81C\x91\xc5\x85~U\x97\xda\x14\x82P\xdc\x8a\x0e',UpkeepPerformed,20731638,81,282,0x06e5e6f6dfced6d777bf073326b25d2984a67c01cb9c8b5bcd41235599e3f3a7,0.001351691467791855,2326951923,0.001622029761350226
2024-09-12 03:46:23,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1048127381337360936,461314,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<X \x89\x13g\xde\x00\xe6\x02\xb2b&\xbfC\t\xec>\xc5\xaaI\x93\xe0\xea\xb5?\x91\xad\xf3*\x12\xe3\xac\xc2\x98',UpkeepPerformed,20731937,13,26,0x0214d23747480ad6d770530007048d4140fed184ba56348559d4c4db7e73648c,0.00395464477696854,7012030173,0.0047455737323622476
