top_level_function,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,filename,lineno,function
add_new_nav_per_share_to_table,4,1.4170000000000002e-06,3.5425000000000004e-07,1.4170000000000002e-06,3.5425000000000004e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/constants.py,103,__call__
add_new_nav_per_share_to_table,354,3.0016000000000002e-05,8.479096045197741e-08,3.0016000000000002e-05,8.479096045197741e-08,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/constants.py,47,client
add_new_nav_per_share_to_table,2,3.665e-06,1.8325e-06,0.000176708,8.8354e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,50,_build_default_block_and_timestamp_calls
add_new_nav_per_share_to_table,708,0.000521252,7.362316384180792e-07,0.005754093,8.12725e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,66,_fetch_data
add_new_nav_per_share_to_table,2,5.830000000000001e-07,2.9150000000000004e-07,5.830000000000001e-07,2.9150000000000004e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,65,_data_fetch_builder
add_new_nav_per_share_to_table,2,3.2910000000000003e-06,1.6455000000000002e-06,2.2116974590000003,1.1058487295000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,78,get_raw_state_by_blocks
add_new_nav_per_share_to_table,2,1.4541e-05,7.2705e-06,1.4541e-05,7.2705e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,101,<listcomp>
add_new_nav_per_share_to_table,2,0.000134899,6.74495e-05,0.0006923330000000001,0.00034616650000000003,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,108,<listcomp>
add_new_nav_per_share_to_table,2,5.292e-06,2.646e-06,5.292e-06,2.646e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,120,<listcomp>
add_new_nav_per_share_to_table,2,4.5417e-05,2.27085e-05,4.5417e-05,2.27085e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,126,<listcomp>
add_new_nav_per_share_to_table,2,4.1700000000000004e-07,2.0850000000000002e-07,4.1700000000000004e-07,2.0850000000000002e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,128,<listcomp>
add_new_nav_per_share_to_table,4,9.4961e-05,2.374025e-05,0.007127542000000001,0.0017818855000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,91,async_safe_get_raw_state_by_block
add_new_nav_per_share_to_table,957,0.000205994,2.1524973876698016e-07,0.000205994,2.1524973876698016e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,155,safe_normalize_with_bool_success
add_new_nav_per_share_to_table,708,6.1788e-05,8.727118644067797e-08,6.1788e-05,8.727118644067797e-08,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,173,identity_with_bool_success
add_new_nav_per_share_to_table,2,3.6042000000000005e-05,1.8021000000000002e-05,0.0006255000000000001,0.00031275000000000004,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,245,_add_to_blocks_to_use_table
add_new_nav_per_share_to_table,2,2.9417000000000003e-05,1.4708500000000002e-05,2.9417000000000003e-05,1.4708500000000002e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,264,<listcomp>
add_new_nav_per_share_to_table,2,1.4084000000000001e-05,7.0420000000000005e-06,0.004463667,0.0022318335,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,254,build_blocks_to_use
add_new_nav_per_share_to_table,1,9.793000000000001e-06,9.793000000000001e-06,0.0073915840000000005,0.0073915840000000005,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,31,add_new_rows
add_new_nav_per_share_to_table,1,1.5e-06,1.5e-06,1.5e-06,1.5e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,53,<listcomp>
add_new_nav_per_share_to_table,2,1.9600000000000003e-06,9.800000000000001e-07,3.1459000000000005e-05,1.5729500000000002e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,15,convert_timestamps_to_iso
add_new_nav_per_share_to_table,2,8.445800000000001e-05,4.2229000000000005e-05,0.019601458000000002,0.009800729000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,67,verify_rows_saved
add_new_nav_per_share_to_table,4,1.5875e-05,3.96875e-06,0.0009270420000000001,0.00023176050000000003,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,107,does_table_exist
add_new_nav_per_share_to_table,2,0.000161831,8.09155e-05,0.032789833000000004,0.016394916500000002,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,119,write_dataframe_to_table
add_new_nav_per_share_to_table,3,2.2915e-05,7.638333333333333e-06,0.002517249,0.000839083,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,195,run_read_only_query
add_new_nav_per_share_to_table,2,0.00023812500000000003,0.00011906250000000001,0.000993167,0.0004965835,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,228,get_earliest_block_from_table_with_chain
add_new_nav_per_share_to_table,2,5.3292000000000004e-05,2.6646000000000002e-05,0.002432749,0.0012163745,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/database_operations.py,265,get_all_rows_in_table_by_chain
add_new_nav_per_share_to_table,2,5.667e-06,2.8335e-06,0.00034162600000000004,0.00017081300000000002,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,29,get_timestamp_table_was_last_updated
add_new_nav_per_share_to_table,2,1.6502000000000002e-05,8.251000000000001e-06,0.000345959,0.0001729795,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,57,write_timestamp_table_was_last_updated
add_new_nav_per_share_to_table,3,7.583e-06,2.5276666666666665e-06,0.000253251,8.4417e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,80,does_table_exist
add_new_nav_per_share_to_table,3,0.000109747,3.658233333333334e-05,0.0007073330000000001,0.0002357776666666667,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,93,should_update_table
add_new_nav_per_share_to_table,2,8.25e-06,4.125e-06,8.25e-06,4.125e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,28,<listcomp>
add_new_nav_per_share_to_table,1,0.000254707,0.000254707,2.254505375,2.254505375,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,23,add_new_nav_per_share_to_table
add_new_nav_per_share_to_table,2,7.627000000000001e-06,3.8135000000000004e-06,0.000296584,0.000148292,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,34,<listcomp>
add_new_nav_per_share_to_table,2,8.001e-06,4.0005e-06,1.5334000000000003e-05,7.667000000000001e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,37,<listcomp>
add_new_nav_per_share_to_table,5,5.626e-06,1.1252e-06,0.000284625,5.6925e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,45,nav_per_share_call
add_new_nav_per_share_to_table,2,2.4540000000000002e-05,1.2270000000000001e-05,2.215877876,1.107938938,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,33,_fetch_nav_per_share_from_external_source
initialize_tx_hash_to_gas_info_db,1,1.2542000000000001e-05,1.2542000000000001e-05,0.000702083,0.000702083,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/add_info_to_dataframes.py,24,initialize_tx_hash_to_gas_info_db
ensure_table_to_last_updated_exists,1,7.083000000000001e-06,7.083000000000001e-06,0.000222625,0.000222625,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,13,ensure_table_to_last_updated_exists
_add_to_blocks_to_use_table,1,2.5126000000000003e-05,2.5126000000000003e-05,0.000566084,0.000566084,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,245,_add_to_blocks_to_use_table
_add_to_blocks_to_use_table,1,4.6230000000000005e-06,4.6230000000000005e-06,0.000299042,0.000299042,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,29,get_timestamp_table_was_last_updated
_add_to_blocks_to_use_table,1,6.25e-06,6.25e-06,0.000158417,0.000158417,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,80,does_table_exist
_add_to_blocks_to_use_table,1,8.154100000000001e-05,8.154100000000001e-05,0.000540958,0.000540958,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,93,should_update_table
add_new_destination_summary_stats_to_table,1,3.834e-06,3.834e-06,0.00023604200000000003,0.00023604200000000003,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,29,get_timestamp_table_was_last_updated
add_new_destination_summary_stats_to_table,1,5.125e-06,5.125e-06,0.000135,0.000135,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,80,does_table_exist
add_new_destination_summary_stats_to_table,1,6.4708e-05,6.4708e-05,0.000437042,0.000437042,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,93,should_update_table
add_new_destination_summary_stats_to_table,1,9.58e-07,9.58e-07,0.000438,0.000438,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,50,add_new_destination_summary_stats_to_table
add_new_destination_details_for_each_chain_to_table,1,9.99e-07,9.99e-07,0.000425708,0.000425708,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,88,add_new_destination_details_for_each_chain_to_table
add_new_destination_details_for_each_chain_to_table,1,3.9590000000000006e-06,3.9590000000000006e-06,0.000228167,0.000228167,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,29,get_timestamp_table_was_last_updated
add_new_destination_details_for_each_chain_to_table,1,5.458e-06,5.458e-06,0.00012375,0.00012375,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,80,does_table_exist
add_new_destination_details_for_each_chain_to_table,1,7.1542e-05,7.1542e-05,0.000424709,0.000424709,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,93,should_update_table
add_new_nav_per_share_to_table,1,5.208e-06,5.208e-06,0.0004932080000000001,0.0004932080000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,29,get_timestamp_table_was_last_updated
add_new_nav_per_share_to_table,1,8.291e-06,8.291e-06,0.0002485,0.0002485,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,80,does_table_exist
add_new_nav_per_share_to_table,1,0.000176168,0.000176168,0.0009196670000000001,0.0009196670000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,93,should_update_table
add_new_nav_per_share_to_table,1,1.249e-06,1.249e-06,0.000920916,0.000920916,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/key_metrics/fetch_nav_per_share.py,23,add_new_nav_per_share_to_table
add_new_rebalance_events_for_each_autopool_to_table,69,2.7212000000000003e-05,3.943768115942029e-07,2.7212000000000003e-05,3.943768115942029e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/constants.py,103,__call__
add_new_rebalance_events_for_each_autopool_to_table,248,4.4196e-05,1.7820967741935484e-07,4.4196e-05,1.7820967741935484e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/constants.py,47,client
add_new_rebalance_events_for_each_autopool_to_table,12,7.876e-06,6.563333333333334e-07,7.876e-06,6.563333333333334e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,72,<dictcomp>
add_new_rebalance_events_for_each_autopool_to_table,12,2.5699000000000002e-05,2.1415833333333337e-06,9.091700000000001e-05,7.5764166666666676e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,70,from_record
add_new_rebalance_events_for_each_autopool_to_table,3,3.791e-06,1.2636666666666667e-06,0.0021815000000000003,0.0007271666666666668,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,88,add_new_destination_details_for_each_chain_to_table
add_new_rebalance_events_for_each_autopool_to_table,3,1.0709e-05,3.569666666666667e-06,0.000121293,4.0431e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,188,<listcomp>
add_new_rebalance_events_for_each_autopool_to_table,3,1.6165000000000002e-05,5.388333333333334e-06,0.007144125,0.0023813750000000002,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,184,get_destination_details
add_new_rebalance_events_for_each_autopool_to_table,1,3.665e-06,3.665e-06,0.344226541,0.344226541,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,31,get_state_by_one_block
add_new_rebalance_events_for_each_autopool_to_table,2,3.916e-06,1.958e-06,7.754200000000001e-05,3.8771000000000005e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,35,safe_get_raw_state_by_block_one_block
add_new_rebalance_events_for_each_autopool_to_table,6,2.0754e-05,3.4590000000000003e-06,0.0009958760000000001,0.00016597933333333337,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,50,_build_default_block_and_timestamp_calls
add_new_rebalance_events_for_each_autopool_to_table,480,0.0006594750000000001,1.3739062500000001e-06,0.008709289,1.8144352083333335e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,66,_fetch_data
add_new_rebalance_events_for_each_autopool_to_table,6,2.5410000000000003e-06,4.2350000000000005e-07,2.5410000000000003e-06,4.2350000000000005e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,65,_data_fetch_builder
add_new_rebalance_events_for_each_autopool_to_table,6,1.4912e-05,2.4853333333333336e-06,15.200145998000002,2.5333576663333335,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,78,get_raw_state_by_blocks
add_new_rebalance_events_for_each_autopool_to_table,6,2.7834e-05,4.639e-06,2.7834e-05,4.639e-06,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,101,<listcomp>
add_new_rebalance_events_for_each_autopool_to_table,6,0.00018155300000000001,3.0258833333333336e-05,0.000861042,0.000143507,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,108,<listcomp>
add_new_rebalance_events_for_each_autopool_to_table,6,5.752e-06,9.586666666666666e-07,5.752e-06,9.586666666666666e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/data_fetching/get_state_by_block.py,120,<listcomp>
