         568789965 function calls (557406642 primitive calls) in 527.294 seconds

   Ordered by: cumulative time
   List reduced from 4935 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    6.843    0.132 buffered_gas_estimate.py:30(middleware)
       52    0.001    0.000    6.842    0.132 exception_retry_request.py:101(middleware)
       52    0.001    0.000    6.842    0.132 rpc.py:84(make_request)
       94    0.000    0.000    6.838    0.073 base.py:2574(close)
       94    0.000    0.000    6.838    0.073 base.py:2723(_do_close)
       94    0.001    0.000    6.838    0.073 base.py:2707(_close_impl)
       94    0.000    0.000    6.837    0.073 base.py:2701(_connection_rollback_impl)
       94    0.001    0.000    6.837    0.073 base.py:1111(_rollback_impl)
       52    0.000    0.000    6.836    0.131 request.py:44(make_post_request)
       52    0.000    0.000    6.834    0.131 sessions.py:626(post)
       16    0.000    0.000    6.829    0.427 get_events.py:105(fetch_events)
2702694/2701662    0.150    0.000    6.824    0.000 {built-in method builtins.next}
  1578722    2.331    0.000    6.728    0.000 keccak.py:69(__init__)
    54912    0.160    0.000    6.703    0.000 sslproto.py:156(feed_ssldata)
       91    0.000    0.000    6.682    0.073 session.py:2099(_connection_for_bind)
       91    0.000    0.000    6.682    0.073 <string>:1(_connection_for_bind)
       91    0.001    0.000    6.681    0.073 session.py:1152(_connection_for_bind)
      516    0.002    0.000    6.664    0.013 session.py:1813(_maker_context_manager)
1589/1073    0.002    0.000    6.663    0.006 contextlib.py:139(__exit__)
      258    0.000    0.000    6.650    0.026 <string>:1(commit)
      258    0.004    0.000    6.648    0.026 session.py:1306(commit)
       13    0.000    0.000    6.612    0.509 endpoint.py:382(_send)
       13    0.000    0.000    6.612    0.509 httpsession.py:447(send)
       70    6.329    0.090    6.329    0.090 postgres_operations.py:213(<listcomp>)
       21    0.000    0.000    6.293    0.300 postgres_operations.py:257(get_full_table_as_orm)
   830107    0.242    0.000    6.137    0.000 decoding.py:264(decode)
      180    0.000    0.000    6.125    0.034 frame.py:10170(apply)
      180    0.000    0.000    6.124    0.034 apply.py:864(apply)
      180    0.000    0.000    6.123    0.034 apply.py:1061(apply_standard)
      180    0.006    0.000    6.105    0.034 apply.py:1070(apply_series_generator)
        9    0.000    0.000    5.932    0.659 update_destination_token_values_tables.py:240(_extract_destination_token_values)
 13392776    2.988    0.000    5.928    0.000 hexadecimal.py:35(is_0x_prefixed)
      382    0.006    0.000    5.921    0.016 update_destination_token_values_tables.py:292(<lambda>)
      382    0.182    0.000    5.916    0.015 update_destination_token_values_tables.py:252(_extract_destination_token_values)
    28763    0.012    0.000    5.832    0.000 ssl.py:973(do_handshake)
        6    0.000    0.000    5.804    0.967 get_state_by_block.py:266(build_blocks_to_use)
        6    0.000    0.000    5.804    0.967 get_state_by_block.py:244(postgres_build_blocks_to_use)
       16    0.000    0.000    5.731    0.358 get_events.py:57(_recursive_helper_get_all_events_within_range)
   508246    0.211    0.000    5.556    0.000 address.py:79(to_canonical_address)
  7946009    2.117    0.000    5.527    0.000 hexadecimal.py:43(remove_0x_prefix)
2160330/1919284    1.079    0.000    5.016    0.000 decoding.py:197(decode)
    68849    0.024    0.000    4.650    0.000 manager.py:203(coro_request)
    68849    0.041    0.000    4.616    0.000 manager.py:152(_coro_make_request)
  5293673    1.250    0.000    4.535    0.000 address.py:14(is_hex_address)
    68849    0.085    0.000    4.530    0.000 async_rpc.py:69(make_request)
  3774535    1.251    0.000    4.517    0.000 address.py:138(_is_checksum_formatted)
  3910846    0.927    0.000    4.442    0.000 decorators.py:31(_assert_one_val)
    10078    0.025    0.000    4.235    0.000 method.py:174(process_params)
    10122    0.007    0.000    4.230    0.000 _base.py:430(result)
       44    0.000    0.000    4.219    0.096 _base.py:614(result_iterator)
       39    0.000    0.000    4.219    0.108 _base.py:316(_result_or_cancel)
  5446767    1.266    0.000    4.202    0.000 hexadecimal.py:49(add_0x_prefix)
21046/20196    0.016    0.000    3.974    0.000 decorators.py:87(wrapper)
    10078    0.010    0.000    3.915    0.000 method.py:47(_apply_request_formatters)
    10924    0.107    0.000    3.844    0.000 abi.py:777(map_abi_data)
  1784389    1.426    0.000    3.826    0.000 hexadecimal.py:23(encode_hex)
    40328    0.014    0.000    3.825    0.000 applicators.py:11(apply_formatter_at_index)
    10074    0.032    0.000    3.810    0.000 rpc_abi.py:216(apply_abi_formatters_to_dict)
    68849    0.068    0.000    3.801    0.000 request.py:54(async_make_post_request)
      353    0.002    0.000    3.780    0.011 response.py:916(read)
      375    0.002    0.000    3.772    0.010 response.py:864(_raw_read)
      375    0.000    0.000    3.766    0.010 response.py:807(_fp_read)
      375    0.001    0.000    3.765    0.010 client.py:450(read)
  7390744    3.746    0.000    3.746    0.000 {method 'fullmatch' of 're.Pattern' objects}
       16    0.000    0.000    3.602    0.225 filters.py:163(get_all_entries)
  1578722    1.699    0.000    3.554    0.000 keccak.py:105(digest)
  3910846    2.776    0.000    3.514    0.000 decorators.py:25(_has_one_val)
      382    0.043    0.000    3.389    0.009 update_destination_token_values_tables.py:289(<listcomp>)
   196243    0.181    0.000    3.364    0.000 full.py:39(from_record)
       13    0.000    0.000    3.244    0.250 get_state_by_block.py:31(get_state_by_one_block)
61056683/60511997    2.522    0.000    3.230    0.000 {built-in method builtins.isinstance}
531566/62525    0.392    0.000    3.105    0.000 decorators.py:21(wrapped)
531566/62525    0.213    0.000    3.045    0.000 formatters.py:81(recursive_map)
        1    0.000    0.000    3.007    3.007 update_chainlink_keeper_gas_costs_table.py:22(_fetch_topic_id_to_highest_already_fetched_block)
531566/62525    0.203    0.000    2.988    0.000 formatters.py:65(map_collection)
    52962    0.046    0.000    2.983    0.000 client.py:1424(__aenter__)
    52962    0.167    0.000    2.936    0.000 client.py:470(_request)
469041/156811    0.087    0.000    2.833    0.000 formatters.py:87(recurse)
  2301465    0.901    0.000    2.793    0.000 conversions.py:19(to_hex)
    41098    0.013    0.000    2.723    0.000 abi.py:832(data_tree_map)
 24895353    2.040    0.000    2.714    0.000 types.py:19(is_text)
        9    0.000    0.000    2.676    0.297 update_destination_token_values_tables.py:200(_fetch_destination_token_addresses_df)
       39    0.000    0.000    2.446    0.063 awsrequest.py:563(content)
      445    0.001    0.000    2.287    0.005 series.py:4789(apply)
      445    0.001    0.000    2.285    0.005 apply.py:1409(apply)
      445    0.002    0.000    2.284    0.005 apply.py:1482(apply_standard)
      483    0.001    0.000    2.280    0.005 base.py:891(_map_values)
      483    0.028    0.000    2.279    0.005 algorithms.py:1667(map_array)
   204549    0.113    0.000    2.180    0.000 state.py:562(_initialize_instance)
       16    0.000    0.000    2.127    0.133 decorators.py:15(_wrapper)
       16    0.000    0.000    2.127    0.133 contract.py:1178(createFilter)
       16    0.000    0.000    2.119    0.132 events.py:401(deploy)
    10107    0.120    0.000    2.072    0.000 tasks.py:684(gather)
    20078    0.019    0.000    2.063    0.000 utils.py:90(gather)
  1578722    1.040    0.000    1.967    0.000 keccak.py:88(update)
        2    0.000    0.000    1.964    0.982 update_token_values_table.py:77(_fetch_new_token_values_rows)
        2    0.000    0.000    1.955    0.977 update_token_values_table.py:217(_fetch_safe_and_backing_values)
  3157444    1.044    0.000    1.918    0.000 api.py:242(new)
  1578722    0.348    0.000    1.800    0.000 _raw_api.py:163(VoidPointer)
  2085312    0.528    0.000    1.773    0.000 hexadecimal.py:55(is_hexstr)
